id,rule,specification,classification,authority
01,Initial shadow capital,Both paths initialize `Book.cash=100_000_000` at warmup start. Preserve this value during attribution.,A,R/C; predates certification. Deployment-capital applicability remains item 03.
02,Warmup and measurement,Warmup 2006-01-03; measurement 2006-07-31 through 2026-07-31; warmup trades and controller state carry into measurement; reported strategy NAV rebases to 1 at measurement start.,A,R/C/FZ. This is not a fresh all-cash launch on 2006-07-31.
03,Certified capital meaning,"$100M is the starting shadow book, not a demonstrated deployable account capacity or the measured-start NAV. The actual portfolio is represented by a synthetic allocation overlay.",F,Explicit deployment-capital interpretation and account/shadow coupling require approval.
04,Position count,25 slots.,A,R: N_SLOTS.
05,Entry sizing,"New target `min(0.04 * current shadow equity, cash)`; existing winners are not routinely resized to 4%.",A,R/C admission loop.
06,Share granularity,New orders use whole shares. Held quantities can become fractional through split multiplication. Delivered conversion shares are floored with cash-in-lieu terms.,A,R/C Slot and split logic; T conversion convention.
07,Numerical rounding,Order sizing floors; pending quantities round to integer for execution; floating book accounting; some rolling market-history arrays use float32.,A,R/C. Strict capital-scale invariance is already false at rounding boundaries.
08,Liquidity eligibility,Minimum raw close $1; trailing-20 average dollar volume $20M; current-session dollar volume $5M.,A,R/C MIN_PRICE/MIN_ADV20/MIN_DAY_DV. Eligibility is a close decision.
09,Executable-order capacity,Certificate adds a 10% prior-20-share-volume ceiling. Corrected candidate and pinned production execution omit that guard.,E,T and P; the earlier user handoff explicitly identifies the synthetic rule as a harness defect and prohibits reintroduction.
10,Oversized-order treatment,Certificate retains the full order and retries it; no capacity-sized partial progress or expiry. Held exits and reserved entries can remain blocked.,E,T `defer_excess=True`; whole-order `continue` branches.
11,Capacity history,"Certificate uses the latest 20 positive raw-compatible observations, appended after open fills; missing authority raises. Split-domain continuity of that history requires separate proof if capacity is ever adopted.",C,T; not an approved Champion execution model.
12,Cash-limited fill,"At an executable open, quantity is clipped to affordable whole shares; pending request is then cleared. The unfilled cash-limited residual does not persist.",A,R/C buy loop; capacity guard is checked before this clipping in C.
13,Missing execution price/volume,Pending orders wait for a positive raw open and positive session volume.,A,R/C. Intraday availability of final daily volume is item 49.
14,Signal and order timing,Closing-session data generate orders for a subsequent open; pending prior orders execute before new closing admissions.,A,R/C; exact intraday input visibility still requires independent testing.
