role,library_file_id,original_name
latest Sentinel 1.1 zero-gate bundle,file_000000003e2881fdae3f11a5ea6d8460,sentinel_1p1_zero_gate_test.zip
immediate +1pp recovery-ramp promotion bundle,file_00000000d24c81fdb21cd11e5c3341e0,sentinel_recovery_ramp_promotion_suite.zip
daily breadth/health tape,file_00000000b92481fda591b4deaf0de3c7,fundamental_portfolio_health_daily.csv
Sentinel 1.0x parent prospectus,file_00000000706081fd9732968f3344993b,Sentinel_1.0x_Comprehensive_Engineering_Prospectus.pdf
recovery ramp candidate spec,file_00000000cfd081fdb222456db8cd24ee,recovery_ramp_candidate_spec.txt
current Sentinel architecture doc,file_000000005e6081fda9273ec5fa79b3d9,stocker-docs-sentinel-architecture...pdf
persistent-bear functional spec,file_0000000037ac81fda81d3b7bb0f38bfe,Wealth_Core_Expectancy_Aware_Persistent_Bear_Functional_Specification.pdf
Wealth Core champion spec,file_000000001e9481fda0d327f8c74d8f72,Wealth_Core_Champion_Prospectus_and_Engineering_Specification.pdf
Sentinel 1.0 simplification equivalence proof,file_00000000be1c81fd84afe0b4bd8dc85d,sentinel_1p0_simplification_equivalence_proof.csv
zero-gate comparison,file_000000004ed481fd85e3de7f0ab6020f,zero_gate_comparison.csv
systemic shock forensics source archive,file_00000000168881fd96ca20945466c577,wealth_core_shock_override_forensics_v2.zip
systemic shock experiment source archive,file_00000000d0f08230a431b7f127918097,wealth_core_systemic_shock_override_experiment.zip
position-level survivor firewall source archive,file_00000000c414823095f0a379c1e413c0,elastic_survivor_firewall_experiment.zip
